Roll,Pitch,Heading,Temperature,Pressure,Sea Level Pressure,Altitude,Corrected Altitude,Packet RSSI,Packet SNR
-6.90,-5.30,8.00,24.90,509.24,541.11,509.23,488.16,-37,10.00
-7.60,-1.30,34.00,24.90,509.24,541.11,509.23,488.16,-41,10.00
-7.60,-1.30,34.00,24.90,509.24,541.11,509.23,488.16,-41,10.00
-8.00,-0.30,40.00,24.90,509.24,541.11,509.23,488.16,-42,10.75
-8.00,-0.30,40.00,24.90,509.24,541.11,509.23,488.16,-42,10.75
-7.60,-0.10,43.00,24.90,509.24,541.11,509.23,488.16,-42,10.00
-6.50,-0.50,44.00,24.90,509.24,541.11,509.23,488.16,-42,10.50
-6.60,-0.40,45.00,24.90,509.24,541.11,509.23,488.16,-42,10.25
-6.60,-0.40,45.00,24.90,509.24,541.11,509.23,488.16,-42,10.25
-6.50,-0.40,45.00,24.90,509.24,541.11,509.23,488.16,-42,10.25
-6.30,-0.50,45.00,24.90,509.24,541.11,509.23,488.16,-42,10.25
-5.90,-0.60,45.00,24.90,509.24,541.11,509.23,488.16,-42,10.75
-5.90,-0.60,45.00,24.90,509.24,541.11,509.23,488.16,-43,10.25
-6.10,-0.60,45.00,24.90,509.24,541.11,509.23,488.16,-43,10.25
-6.10,-0.60,45.00,24.90,509.24,541.11,509.23,488.16,-43,10.25
-5.70,-0.80,45.00,24.90,509.25,541.11,509.07,488.00,-43,9.75
-5.70,-0.80,45.00,24.90,509.25,541.11,509.07,488.00,-43,9.50
-5.80,-0.80,45.00,24.90,509.25,541.11,509.07,488.00,-43,9.75
-5.90,-0.80,45.00,24.90,509.25,541.11,509.07,488.00,-43,9.50
-5.90,-0.70,45.00,24.90,509.23,541.11,509.40,488.32,-43,9.50
-5.60,-0.80,45.00,24.90,509.23,541.11,509.40,488.32,-43,9.75
-5.70,-0.80,45.00,24.90,509.23,541.11,509.40,488.32,-43,9.50
-5.70,-0.80,45.00,24.90,509.23,541.11,509.40,488.32,-43,9.50
-5.80,-0.80,45.00,24.90,509.23,541.11,509.40,488.32,-43,9.50
-5.90,-0.80,45.00,24.90,509.25,541.11,509.07,488.00,-42,9.75
-5.90,-0.90,45.00,24.90,509.25,541.11,509.07,488.00,-43,10.00
-5.60,-1.00,45.00,24.90,509.25,541.11,509.07,488.00,-43,9.75
-5.60,-1.00,45.00,24.90,509.25,541.11,509.07,488.00,-43,9.25
-5.70,-0.90,45.00,24.90,509.24,541.11,509.23,488.16,-42,10.00
-5.80,-1.00,45.00,24.90,509.24,541.11,509.23,488.16,-43,10.00
-5.80,-1.00,45.00,24.90,509.24,541.11,509.23,488.16,-43,10.00
-6.30,-0.90,45.00,24.90,509.24,541.11,509.23,488.16,-43,9.75
-5.90,-0.90,45.00,24.90,509.25,541.11,509.07,488.00,-43,9.50
-5.60,-1.00,45.00,24.90,509.25,541.11,509.07,488.00,-43,9.50
-5.70,-0.90,45.00,24.90,509.25,541.11,509.07,488.00,-43,9.50
-5.70,-0.90,45.00,24.90,509.25,541.11,509.07,488.00,-43,9.50
-5.30,-0.90,44.00,24.90,509.25,541.11,509.07,488.00,-43,9.50
-4.60,-1.30,44.00,24.90,509.24,541.11,509.23,488.16,-42,9.75
-4.60,-1.30,44.00,24.90,509.24,541.11,509.23,488.16,-42,9.75
-4.80,-1.30,44.00,24.90,509.24,541.11,509.23,488.16,-44,10.00
-4.30,-1.40,44.00,24.90,509.24,541.11,509.23,488.16,-43,10.00
-4.00,-1.60,44.00,24.90,509.24,541.11,509.23,488.16,-44,10.75
-4.00,-1.50,44.00,25.00,509.25,541.11,509.07,488.00,-44,9.50
-4.30,-1.50,44.00,25.00,509.25,541.11,509.07,488.00,-43,9.25
-4.30,-1.50,44.00,25.00,509.25,541.11,509.07,488.00,-43,9.50
-4.30,-1.50,44.00,25.00,509.25,541.11,509.07,488.00,-43,9.50
-4.30,-1.50,44.00,25.00,509.27,541.11,508.74,487.68,-43,9.75
-4.30,-1.50,44.00,25.00,509.27,541.11,508.74,487.68,-43,9.75
-4.30,-1.50,44.00,25.00,509.27,541.11,508.74,487.68,-43,9.75
-4.30,-1.50,44.00,25.00,509.27,541.11,508.74,487.68,-43,9.75
-4.40,-1.50,44.00,25.00,509.27,541.11,508.74,487.68,-43,10.00
-4.40,-1.50,44.00,25.00,509.27,541.11,508.74,487.68,-43,9.75
-4.40,-1.50,44.00,25.00,509.27,541.11,508.74,487.68,-43,9.75
-4.40,-1.50,44.00,25.00,509.24,541.11,509.23,488.16,-43,10.00
-4.50,-1.50,44.00,25.00,509.24,541.11,509.23,488.16,-43,9.75
-4.50,-1.50,44.00,25.00,509.24,541.11,509.23,488.16,-43,9.75
-4.50,-1.50,44.00,25.00,509.24,541.11,509.23,488.16,-43,9.50
-4.60,-1.50,44.00,25.00,509.24,541.11,509.23,488.16,-43,10.00
-4.50,-1.50,44.00,25.00,509.24,541.11,509.23,488.16,-42,10.00
-4.60,-1.50,44.00,25.00,509.24,541.11,509.23,488.16,-43,9.75
-4.50,-1.50,44.00,25.00,509.24,541.11,509.23,488.16,-42,10.25
-4.50,-1.50,44.00,25.00,509.24,541.11,509.23,488.16,-42,10.25
-4.40,-1.50,44.00,25.00,509.23,541.11,509.40,488.32,-43,9.50
