Time,Roll,Pitch,Heading,Batt Temp Left,Batt Temp Right,Batt Temp Down,Batt Temp Box,Batt Temp CubeSat,Temperature,Pressure,Humidity,GpsAltitude,Latitude,Longitude,Speed,NumSatellites,Year,Month,Day,Hour,Minute,Second,Camera Info,Intensity,SNR
1,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.69,1015.27,54.2,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,13,49,1.0,-54.0,10.0
1,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.69,1015.27,54.2,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,13,49,1.0,-54.0,10.0
2,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.69,1015.27,54.2,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,13,49,1.0,-54.0,10.0
1,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.69,1015.27,54.2,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,13,49,1.0,-54.0,10.0
2,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.69,1015.27,54.2,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,13,49,1.0,-54.0,10.0
3,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.71,1015.26,54.08,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,21,49,1.0,-53.0,14.25
1,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.69,1015.27,54.2,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,13,49,1.0,-54.0,10.0
2,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.69,1015.27,54.2,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,13,49,1.0,-54.0,10.0
3,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.71,1015.26,54.08,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,21,49,1.0,-53.0,14.25
4,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.73,1015.26,54.04,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,28,49,1.0,-53.0,12.5
1,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.69,1015.27,54.2,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,13,49,1.0,-54.0,10.0
2,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.69,1015.27,54.2,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,13,49,1.0,-54.0,10.0
3,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.71,1015.26,54.08,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,21,49,1.0,-53.0,14.25
4,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.73,1015.26,54.04,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,28,49,1.0,-53.0,12.5
5,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.73,1015.26,54.04,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,28,49,1.0,-53.0,12.5
1,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.69,1015.27,54.2,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,13,49,1.0,-54.0,10.0
2,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.69,1015.27,54.2,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,13,49,1.0,-54.0,10.0
3,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.71,1015.26,54.08,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,21,49,1.0,-53.0,14.25
4,0.0,0.0,0.0,28.25,28.0,27.87,27.87,27.62,28.73,1015.26,54.04,0.0,0.0,0.0,0.0,0,2023,9,5,21,21,28,49,1.0,-53.0,12.5
