Time,Roll,Pitch,Heading,Batt Temp Left,Batt Temp Right,Batt Temp Down,Batt Temp Box,Batt Temp CubeSat,Temperature,Pressure,Humidity,GpsAltitude,Latitude,Longitude,Speed,NumSatellites,Year,Month,Day,Hour,Minute,Second,Camera Info,Camera Flag,Intensity,SNR
1,3.25,-2.31,2.44,26.25,26.25,26.12,26.37,27.12,29.03,1017.19,48.36,0.0,0.0,0.0,0.0,0,2023,9,12,9,0,36,49,1.0,-48.0,9.25
2,3.25,-2.31,2.44,26.25,26.25,26.12,26.37,27.12,29.03,1017.21,48.37,0.0,0.0,0.0,0.0,0,2023,9,12,9,0,40,49,1.0,-48.0,9.75
3,3.25,-2.31,2.44,26.37,26.25,26.12,26.37,27.25,29.04,1017.2,48.37,0.0,0.0,0.0,0.0,0,2023,9,12,9,0,44,49,1.0,-48.0,9.25
4,3.25,-2.31,2.44,26.37,26.25,26.12,26.37,27.25,29.05,1017.23,48.37,0.0,0.0,0.0,0.0,0,2023,9,12,9,0,49,49,1.0,-49.0,9.5
5,3.25,-2.31,2.44,26.37,26.25,26.12,26.37,27.25,29.05,1017.23,48.37,0.0,0.0,0.0,0.0,0,2023,9,12,9,0,49,49,1.0,-49.0,9.5
6,3.25,-2.31,2.44,26.37,26.25,26.12,26.37,27.25,29.04,1017.19,48.38,0.0,0.0,0.0,0.0,0,2023,9,12,9,0,53,49,1.0,-48.0,9.5
