Time,Roll,Pitch,Heading,Batt Temp Left,Batt Temp Right,Batt Temp Down,Batt Temp Box,Batt Temp CubeSat,Temperature,Pressure,Humidity,GpsAltitude,Latitude,Longitude,Speed,NumSatellites,Year,Month,Day,Hour,Minute,Second,Camera Info,Intensity,SNR
1,0.0,0.0,0.0,28.37,28.25,28.0,28.0,27.5,28.41,1015.22,55.4,71.96,28.14,-15.57,0.47,4,2023,9,5,21,4,21,49,1.0,-54.0,13.0
1,0.0,0.0,0.0,28.37,28.25,28.0,28.0,27.5,28.41,1015.22,55.4,71.96,28.14,-15.57,0.47,4,2023,9,5,21,4,21,49,1.0,-54.0,13.0
2,0.0,0.0,0.0,28.37,28.25,28.0,28.0,27.5,28.42,1015.23,55.3,64.51,28.14,-15.57,0.75,4,2023,9,5,21,4,32,49,1.0,-54.0,13.5
1,0.0,0.0,0.0,28.37,28.25,28.0,28.0,27.5,28.41,1015.22,55.4,71.96,28.14,-15.57,0.47,4,2023,9,5,21,4,21,49,1.0,-54.0,13.0
2,0.0,0.0,0.0,28.37,28.25,28.0,28.0,27.5,28.42,1015.23,55.3,64.51,28.14,-15.57,0.75,4,2023,9,5,21,4,32,49,1.0,-54.0,13.5
3,0.0,0.0,0.0,28.37,28.25,28.0,28.0,27.5,28.43,1015.25,55.24,63.43,28.14,-15.57,0.56,3,2023,9,5,21,4,43,49,1.0,-53.0,13.0
1,0.0,0.0,0.0,28.37,28.25,28.0,28.0,27.5,28.41,1015.22,55.4,71.96,28.14,-15.57,0.47,4,2023,9,5,21,4,21,49,1.0,-54.0,13.0
2,0.0,0.0,0.0,28.37,28.25,28.0,28.0,27.5,28.42,1015.23,55.3,64.51,28.14,-15.57,0.75,4,2023,9,5,21,4,32,49,1.0,-54.0,13.5
3,0.0,0.0,0.0,28.37,28.25,28.0,28.0,27.5,28.43,1015.25,55.24,63.43,28.14,-15.57,0.56,3,2023,9,5,21,4,43,49,1.0,-53.0,13.0
4,0.0,0.0,0.0,28.37,28.25,28.0,28.0,27.5,28.43,1015.25,55.24,63.43,28.14,-15.57,0.56,3,2023,9,5,21,4,43,49,1.0,-53.0,13.0
1,0.0,0.0,0.0,28.37,28.25,28.0,28.0,27.5,28.41,1015.22,55.4,71.96,28.14,-15.57,0.47,4,2023,9,5,21,4,21,49,1.0,-54.0,13.0
2,0.0,0.0,0.0,28.37,28.25,28.0,28.0,27.5,28.42,1015.23,55.3,64.51,28.14,-15.57,0.75,4,2023,9,5,21,4,32,49,1.0,-54.0,13.5
3,0.0,0.0,0.0,28.37,28.25,28.0,28.0,27.5,28.43,1015.25,55.24,63.43,28.14,-15.57,0.56,3,2023,9,5,21,4,43,49,1.0,-53.0,13.0
4,0.0,0.0,0.0,28.37,28.25,28.0,28.0,27.5,28.43,1015.25,55.24,63.43,28.14,-15.57,0.56,3,2023,9,5,21,4,43,49,1.0,-53.0,13.0
5,0.0,0.0,0.0,28.25,28.25,28.0,28.0,27.5,28.44,1015.24,55.15,62.76,28.14,-15.57,1.17,4,2023,9,5,21,4,56,49,1.0,-53.0,13.0
1,0.0,0.0,0.0,28.37,28.25,28.0,28.0,27.5,28.41,1015.22,55.4,71.96,28.14,-15.57,0.47,4,2023,9,5,21,4,21,49,1.0,-54.0,13.0
2,0.0,0.0,0.0,28.37,28.25,28.0,28.0,27.5,28.42,1015.23,55.3,64.51,28.14,-15.57,0.75,4,2023,9,5,21,4,32,49,1.0,-54.0,13.5
